model_name,price
"Dell Latitude 5000 Series 5420 (Intel Core i7 11th Gen 14 Inch)","₹36299"
"Dell Latitude 7000 Series 7420 (Intel Core i7 11th Gen 14 Inch)","₹38099"
"Dell Latitude 3000 Series 3420 (Intel Core i7 11th Gen 14 Inch)","₹34299"
"Dell Latitude 3000 Series 3410 (Intel Core i5 10th Gen 14 Inch)","₹25199"
"Dell Latitude 5000 Series 5410 (Intel Core i7 10th Gen 14 Inch)","₹33999"
"Dell Latitude 5000 Series 5420 ( TOUCH SCREEN ) (Intel Core i7 11th Gen 14 Inch)","₹34999"
"Dell Latitude 3000 Series 3440 (Intel Core i5 13th Gen 14 Inch)","₹39999"
"Dell Latitude 5000 Series 5411 (Intel Core i7 10th Gen 14 Inch)","₹35999"
"Dell Latitude 7000 Series 7430 TOUCH SCREEN (Intel Core i5 12th Gen 14 Inch)","₹36399"
"Dell Latitude 5000 Series 5420 ( TOUCH SCREEN ) (Intel Core i5 11th Gen 14 Inch)","₹26899"
"Dell Latitude 5000 Series latitude 5400 (Intel Core i5 8th Gen 14 Inch)","₹19499"
"Dell Latitude 5000 Series 5320 (Intel Core i7 11th Gen 13.3 Inch)","₹40399"
"Dell Inspiron 7000 Series 7440 (Intel Core Ultra 7 14 Inch)","₹60599"
"Dell Inspiron 3000 Series 15 3525 (Amd Athlon Silver 15.6 Inch)","₹15699"
"Dell Vostro 3000 Series 15-3530 (Intel Core i5 13th Gen 15.6 Inch)","₹41599"
"Dell Latitude 5000 Series 5330 (Intel Core i7 12th Gen 14 Inch)","₹44999"
"Dell Latitude 5000 Series 5590 (Intel Core i5 8th Gen 15.6 Inch)","₹19199"
"Dell Inspiron 3000 Series Inspiron 3505 (AMD Ryzen5 3000U Series 15.6 Inch)","₹15999"
"Dell Vostro 3000 Series 3520 (Intel Core i5 11th Gen 14 Inch)","₹28599"
"Dell Vostro 3000 Series 3510 (Intel Core i5 11th Gen 14 Inch)","₹27999"
"Dell Vostro 3000 Series 3420 (Intel Core i5 11th Gen 14 Inch)","₹28599"
